timestamp,temperature,humidity,temp_alert,humidity_alert
2026-05-08 15:31:56,35.4,30.2,1,0
2026-05-08 15:31:58,35.6,29.4,1,0
2026-05-08 15:32:00,35.5,29.4,1,0
2026-05-08 15:32:02,35.5,29.6,1,0
2026-05-08 15:32:05,35.6,29.5,1,0
2026-05-08 15:32:07,35.5,29.6,1,0
2026-05-08 15:32:09,35.5,29.5,1,0
2026-05-08 15:32:11,35.5,29.4,1,0
2026-05-08 15:32:13,35.6,29.5,1,0
2026-05-08 15:32:15,35.7,29.5,1,0
2026-05-08 15:32:17,35.6,29.4,1,0
2026-05-08 15:32:19,35.7,29.5,1,0
2026-05-08 15:32:21,35.7,29.5,1,0
2026-05-08 15:32:23,35.7,29.6,1,0
2026-05-08 15:32:25,35.6,29.4,1,0
2026-05-08 15:32:27,35.6,29.5,1,0
2026-05-08 15:32:29,35.7,29.3,1,0
2026-05-08 15:32:31,35.7,29.3,1,0
2026-05-08 15:32:33,35.6,29.4,1,0
2026-05-08 15:32:35,35.6,29.3,1,0
2026-05-08 15:32:37,35.7,29.3,1,0
2026-05-08 15:32:39,35.7,29.3,1,0
2026-05-08 15:32:42,35.6,29.0,1,0
2026-05-08 15:32:44,35.7,29.1,1,0
2026-05-08 15:32:46,35.6,28.9,1,0
2026-05-08 15:32:48,35.7,28.8,1,0
2026-05-08 15:32:50,35.7,28.7,1,0
2026-05-08 15:32:52,35.8,28.9,1,0
2026-05-08 15:32:54,35.7,29.2,1,0
2026-05-08 15:32:56,35.7,28.7,1,0
2026-05-08 15:32:58,35.6,28.6,1,0
2026-05-08 15:33:00,35.7,30.8,1,0
2026-05-08 15:33:02,35.7,28.9,1,0
2026-05-08 15:33:04,35.7,28.5,1,0
2026-05-08 15:33:06,35.6,28.9,1,0
2026-05-08 15:33:08,35.6,28.8,1,0
2026-05-08 15:33:10,35.8,29.1,1,0
2026-05-08 15:33:12,35.7,28.5,1,0
2026-05-08 15:33:14,35.7,28.7,1,0
2026-05-08 15:33:16,35.7,28.7,1,0
2026-05-08 15:33:18,35.6,28.7,1,0
2026-05-08 15:33:21,35.8,28.6,1,0
2026-05-08 15:33:23,35.6,28.7,1,0
2026-05-08 15:33:25,35.7,28.6,1,0
2026-05-08 15:33:27,35.7,28.6,1,0
2026-05-08 15:33:29,35.6,28.4,1,0
2026-05-08 15:33:31,35.7,28.7,1,0
2026-05-08 15:33:33,35.7,28.5,1,0
2026-05-08 15:33:35,35.6,28.5,1,0
2026-05-08 15:33:37,35.7,28.7,1,0
2026-05-08 16:34:23,36.6,27.8,1,0,13.5,67,0.0,12.6,0,0,0
2026-05-08 16:34:25,36.5,27.8,1,0,13.5,67,0.0,12.6,0,0,0
2026-05-08 16:34:27,36.4,27.5,1,0,13.5,67,0.0,12.6,0,0,0
2026-05-08 16:34:29,36.4,27.5,1,0,13.5,67,0.0,12.6,0,0,0
2026-05-08 16:34:31,36.4,27.6,1,0,13.5,67,0.0,12.6,0,0,0
2026-05-08 16:34:33,36.5,27.5,1,0,13.5,67,0.0,12.6,0,0,0
2026-05-08 16:34:35,36.5,27.4,1,0,13.5,67,0.0,12.6,0,0,0
2026-05-08 16:34:37,36.5,27.6,1,0,13.5,67,0.0,12.6,0,0,0
2026-05-08 16:34:39,36.5,27.5,1,0,13.5,67,0.0,12.6,0,0,0
2026-05-08 16:34:42,36.5,27.3,1,0,13.5,67,0.0,12.6,0,0,0
2026-05-08 16:34:44,36.5,27.5,1,0,13.5,67,0.0,12.6,0,0,0
2026-05-08 16:44:03,29.6,65.8,1,1,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:05,22.5,64.5,0,0,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:08,28.7,61.5,1,0,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:10,25.9,57.2,0,0,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:12,20.2,67.7,0,1,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:14,26.4,63.4,1,0,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:16,29.2,68.0,1,1,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:18,23.7,57.0,0,0,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:20,22.1,65.1,0,1,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:22,21.0,66.9,0,1,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:24,24.6,55.9,0,0,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:26,24.6,63.1,0,0,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:28,21.0,50.5,0,0,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:30,21.5,73.4,0,1,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:32,28.9,55.2,1,0,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:34,24.3,73.6,0,1,13.6,67,0.0,6.5,0,0,0
2026-05-08 16:44:36,29.0,71.0,1,1,13.6,67,0.0,6.5,0,0,0
