timestamp,sensor_mode,indoor_temp_c,indoor_humidity_percent,temp_status,humidity_status,outdoor_temp_c,outdoor_humidity_percent,rain_mm,wind_kmh,rain_status,wind_status
2026-05-13 21:19:32,simulated,18.3,34.7,OK,OK,8.7,74,0.0,20.2,CLEAR,OK
2026-05-13 21:19:34,simulated,28.2,67.7,HIGH,HIGH,8.7,74,0.0,20.2,CLEAR,OK
2026-05-13 21:19:36,simulated,31.1,33.8,HIGH,OK,8.7,74,0.0,20.2,CLEAR,OK
2026-05-13 21:19:38,simulated,16.1,65.6,OK,HIGH,8.7,74,0.0,20.2,CLEAR,OK
2026-05-13 21:19:40,simulated,22.7,28.3,HIGH,OK,8.7,74,0.0,20.2,CLEAR,OK
2026-05-17 16:01:35,simulated,36.2,73.0,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:01:37,simulated,17.3,64.1,OK,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:01:39,simulated,39.9,67.0,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:01:41,simulated,24.4,52.8,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:01:44,simulated,28.9,65.6,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:01:46,simulated,17.0,45.2,OK,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:01:48,simulated,15.4,32.4,OK,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:01:50,simulated,32.6,28.2,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:01:52,simulated,38.9,23.4,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:01:54,simulated,25.8,35.9,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:01:56,simulated,21.3,36.3,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:01:58,simulated,31.8,69.7,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:00,simulated,35.8,24.7,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:02,simulated,37.2,24.0,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:04,simulated,19.1,66.2,OK,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:06,simulated,16.6,36.3,OK,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:08,simulated,31.3,37.4,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:10,simulated,25.2,21.1,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:12,simulated,37.9,58.8,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:14,simulated,15.5,31.2,OK,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:16,simulated,29.2,35.1,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:18,simulated,24.4,79.2,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:20,simulated,20.2,42.4,OK,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:23,simulated,34.0,50.2,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:25,simulated,32.9,43.5,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:27,simulated,36.4,65.1,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:29,simulated,26.0,69.3,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:02:31,simulated,38.2,48.4,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:35,simulated,23.3,34.9,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:37,simulated,30.7,39.8,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:39,simulated,22.8,48.4,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:41,simulated,36.1,38.4,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:43,simulated,30.3,30.8,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:45,simulated,36.9,38.3,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:47,simulated,36.4,30.7,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:49,simulated,30.7,38.0,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:51,simulated,22.2,28.9,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:53,simulated,15.0,35.2,OK,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:56,simulated,26.3,38.3,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:05:58,simulated,27.1,35.0,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:00,simulated,20.0,35.2,OK,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:02,simulated,24.3,37.4,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:04,simulated,37.6,28.5,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:06,simulated,24.8,34.8,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:08,simulated,17.3,45.8,OK,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:10,simulated,16.5,47.3,OK,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:12,simulated,15.9,47.9,OK,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:14,simulated,32.8,45.6,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:16,simulated,20.1,36.0,OK,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:18,simulated,35.8,42.8,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:20,simulated,30.4,48.5,HIGH,HIGH,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:22,simulated,34.4,37.8,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
2026-05-17 16:06:24,simulated,29.1,30.9,HIGH,OK,12.3,56,0.0,23.0,CLEAR,OK
